book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
The House of the Seven Gables	,  Northanger Abbey - 50.00, The Hunger Games (The Hunger Games  #1) - 48.53, To Kill a Mockingbird - 54.68, The Immortal Life of Henrietta Lacks - 41.67, Persuasion - 41.67, The Help - 35.55, The Book Thief - 33.33, Pride and Prejudice - 27.68, 1984 - 25.89, The Great Gatsby - 23.72 
The House of the Spirits	,  The Book Thief - 75.78, The Hunger Games (The Hunger Games  #1) - 72.69, The Handmaid's Tale - 54.87, The Girl with the Dragon Tattoo (Millennium  #1) - 54.17, The Help - 53.47, The Guernsey Literary and Potato Peel Pie Society - 40.98, The Great Gatsby - 38.78, Catching Fire (The Hunger Games  #2) - 35.38, The Immortal Life of Henrietta Lacks - 35.90, The Kite Runner - 35.58 
The House on Mango Street	,  The Book Thief - 68.33, The Hunger Games (The Hunger Games  #1) - 67.15, Catching Fire (The Hunger Games  #2) - 51.81, The Help - 42.14, The Great Gatsby - 41.02, To Kill a Mockingbird - 34.03, The Curious Incident of the Dog in the Night-Time - 35.34, The Girl with the Dragon Tattoo (Millennium  #1) - 34.48, Looking for Alaska - 32.20, The Absolutely True Diary of a Part-Time Indian - 33.62 
The House on Tradd Street (Tradd Street  #1)	,  The Help - 65.62, The Guernsey Literary and Potato Peel Pie Society - 53.49, Garden Spells (Waverley Family  #1) - 42.67, The Thirteenth Tale - 37.40, The Hunger Games (The Hunger Games  #1) - 34.82, The Girl with the Dragon Tattoo (Millennium  #1) - 29.19, The Book Thief - 33.45, Outlander (Outlander  #1) - 30.00, Dark Places - 29.46, Hotel on the Corner of Bitter and Sweet - 29.46 
The Housekeeper and the Professor	,  The Guernsey Literary and Potato Peel Pie Society - 76.84, The Hunger Games (The Hunger Games  #1) - 72.43, The Book Thief - 63.36, The Help - 55.79, The Girl with the Dragon Tattoo (Millennium  #1) - 56.72, The Elegance of the Hedgehog - 42.75, Catching Fire (The Hunger Games  #2) - 38.51, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 36.53, Cutting for Stone - 36.77, The Brief Wondrous Life of Oscar Wao - 33.39 
The Human Stain (The American Trilogy  #3)	,  The Hunger Games (The Hunger Games  #1) - 56.82, The Girl with the Dragon Tattoo (Millennium  #1) - 36.23, The Book Thief - 24.15, Slaughterhouse-Five - 21.21, The Help - 21.21, Cloud Atlas - 19.39, American Pastoral (The American Trilogy  #1) - 19.48, The Great Gatsby - 17.05, Lord of the Flies - 16.07, Middlesex - 15.10 
The Hummingbird's Daughter	,  The Hunger Games (The Hunger Games  #1) - 85.00, The Book Thief - 72.50, The Help - 63.16, The Brief Wondrous Life of Oscar Wao - 55.88, Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time - 51.96, The Immortal Life of Henrietta Lacks - 35.56, A Thousand Splendid Suns - 18.38, Water for Elephants - 17.09, The Time Traveler's Wife - 16.67, The Handmaid's Tale - 15.38 
The Hunchback of Notre-Dame	,  The Hunger Games (The Hunger Games  #1) - 64.58, The Book Thief - 56.82, Catching Fire (The Hunger Games  #2) - 58.67, Les Misérables - 53.83, Pride and Prejudice - 52.76, 1984 - 50.28, The Great Gatsby - 43.85, The Count of Monte Cristo - 39.20, Wuthering Heights - 35.28, To Kill a Mockingbird - 33.58 
The Hundred Dresses	,  The Hunger Games (The Hunger Games  #1) - 76.97, The Book Thief - 65.77, The Guernsey Literary and Potato Peel Pie Society - 59.14, The Help - 58.54, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 47.22, Catching Fire (The Hunger Games  #2) - 38.37, The Girl with the Dragon Tattoo (Millennium  #1) - 35.75, The Giver (The Giver  #1) - 32.41, When You Reach Me - 29.10, The Graveyard Book - 28.22 
The Hundred Secret Senses	,  The Hunger Games (The Hunger Games  #1) - 61.25, The Help - 47.53, Water for Elephants - 52.94, To Kill a Mockingbird - 50.00, The Book Thief - 42.53, The Graveyard Book - 31.11, Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years  #1) - 22.62, The Girl with the Dragon Tattoo (Millennium  #1) - 21.43, A Thousand Splendid Suns - 20.83, The Alchemist - 19.23 
The Hundred Thousand Kingdoms (Inheritance Trilogy  #1)	,  The Hunger Games (The Hunger Games  #1) - 69.21, The Name of the Wind (The Kingkiller Chronicle  #1) - 57.70, The Magicians (The Magicians #1) - 49.17, Catching Fire (The Hunger Games  #2) - 50.43, Soulless (Parasol Protectorate  #1) - 46.07, The Wise Man's Fear (The Kingkiller Chronicle  #2) - 44.50, The Lies of Locke Lamora (Gentleman Bastard  #1) - 39.08, The Final Empire (Mistborn  #1) - 33.50, Storm Front (The Dresden Files  #1) - 32.75, A Game of Thrones (A Song of Ice and Fire  #1) - 32.56 
The Hunger Games (The Hunger Games  #1)	,  Catching Fire (The Hunger Games  #2) - 88.28, Twilight (Twilight  #1) - 28.69, The Book Thief - 28.08, The Help - 25.95, The Girl with the Dragon Tattoo (Millennium  #1) - 23.64, City of Bones (The Mortal Instruments  #1) - 24.34, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 21.69, Breaking Dawn (Twilight  #4) - 19.69, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 18.71, The Maze Runner (Maze Runner  #1) - 19.37 
The Hunt for Red October (Jack Ryan Universe  #4)	,  The Hunger Games (The Hunger Games  #1) - 71.77, Catching Fire (The Hunger Games  #2) - 65.27, The Girl with the Dragon Tattoo (Millennium  #1) - 39.78, A Game of Thrones (A Song of Ice and Fire  #1) - 36.88, Ender's Game (Ender's Saga  #1) - 37.50, The Da Vinci Code (Robert Langdon  #2) - 37.50, American Gods (American Gods  #1) - 36.91, Harry Potter and the Half-Blood Prince (Harry Potter  #6) - 34.88, Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) - 34.31, The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) - 33.75 
The Husband	,  The Hunger Games (The Hunger Games  #1) - 61.29, Odd Thomas (Odd Thomas  #1) - 43.40, Catching Fire (The Hunger Games  #2) - 41.30, Twilight (Twilight  #1) - 39.95, The Girl with the Dragon Tattoo (Millennium  #1) - 38.13, Water for Elephants - 24.75, The Book Thief - 22.10, The Girl Who Played with Fire (Millennium  #2) - 20.30, The Secret Life of Bees - 16.80, Breaking Dawn (Twilight  #4) - 12.33 
The Ice Dragon	,  The Hunger Games (The Hunger Games  #1) - 63.00, The Graveyard Book - 43.36, The Book Thief - 36.09, Catching Fire (The Hunger Games  #2) - 36.09, The Lightning Thief (Percy Jackson and the Olympians  #1) - 32.64, The Magicians (The Magicians #1) - 30.55, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 28.99, A Storm of Swords (A Song of Ice and Fire  #3) - 27.73, The Name of the Wind (The Kingkiller Chronicle  #1) - 20.95, A Game of Thrones (A Song of Ice and Fire  #1) - 19.52 
The Ice Princess (Patrik Hedström  #1)	,  The Hunger Games (The Hunger Games  #1) - 54.86, In the Woods (Dublin Murder Squad  #1) - 53.44, The Girl with the Dragon Tattoo (Millennium  #1) - 50.53, The Book Thief - 35.77, Catching Fire (The Hunger Games  #2) - 24.52, Dark Places - 25.72, The Handmaid's Tale - 23.33, To Kill a Mockingbird - 21.15, The Passage (The Passage  #1) - 20.25, The Magicians (The Magicians #1) - 18.95 
The Ice Queen	,  The Hunger Games (The Hunger Games  #1) - 65.00, The Book Thief - 46.79, Water for Elephants - 47.07, The Help - 42.00, The Girl with the Dragon Tattoo (Millennium  #1) - 36.35, The Time Traveler's Wife - 39.47, The Handmaid's Tale - 38.82, Twilight (Twilight  #1) - 34.87, Catching Fire (The Hunger Games  #2) - 31.95, The Girl Who Played with Fire (Millennium  #2) - 32.57 
The Icebound Land (Ranger's Apprentice  #3)	,  The Ruins of Gorlan (Ranger's Apprentice  #1) - 74.71, The Burning Bridge (Ranger's Apprentice  #2) - 59.02, The Battle for Skandia (Ranger's Apprentice  #4) - 53.08, Catching Fire (The Hunger Games  #2) - 25.40, The Lightning Thief (Percy Jackson and the Olympians  #1) - 22.75, The Hunger Games (The Hunger Games  #1) - 21.17, Graceling (Graceling Realm  #1) - 20.33, The Maze Runner (Maze Runner  #1) - 18.83, City of Bones (The Mortal Instruments  #1) - 16.57, The Sea of Monsters (Percy Jackson and the Olympians  #2) - 14.57 
The Idiot	,  Crime and Punishment - 85.19, The Great Gatsby - 79.63, To Kill a Mockingbird - 70.00, The Brothers Karamazov - 68.25, The Hunger Games (The Hunger Games  #1) - 65.62, Animal Farm - 55.86, 1984 - 56.25, The Picture of Dorian Gray - 49.85, The Road - 42.89, Lolita - 36.19 
The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life	,  The Hunger Games (The Hunger Games  #1) - 63.64, Catching Fire (The Hunger Games  #2) - 60.23, Breaking Dawn (Twilight  #4) - 44.19, The Book Thief - 39.77, Twilight (Twilight  #1) - 34.49, The Guernsey Literary and Potato Peel Pie Society - 31.28, Eat - Pray - Love - 32.67, The Help - 25.45, The Road - 17.53, The Graveyard Book - 14.61 
The Iliad	,  The Odyssey - 72.27, The Hunger Games (The Hunger Games  #1) - 53.27, The Great Gatsby - 56.24, To Kill a Mockingbird - 51.16, 1984 - 43.66, Animal Farm - 47.32, Lord of the Flies - 40.36, Catching Fire (The Hunger Games  #2) - 35.74, The Catcher in the Rye - 39.02, Harry Potter and the Goblet of Fire (Harry Potter  #4) - 34.85 
The Illustrated Man	,  The Hunger Games (The Hunger Games  #1) - 73.65, Catching Fire (The Hunger Games  #2) - 46.70, Ender's Game (Ender's Saga  #1) - 42.17, To Kill a Mockingbird - 37.12, The Handmaid's Tale - 33.11, American Gods (American Gods  #1) - 27.02, The Road - 25.18, A Game of Thrones (A Song of Ice and Fire  #1) - 24.23, Harry Potter and the Chamber of Secrets (Harry Potter  #2) - 21.86, The Book Thief - 20.65 
The Immortal Highlander (Highlander  #6)	,  Kiss of the Highlander (Highlander  #4) - 83.33, The Dark Highlander (Highlander  #5) - 78.17, Spell of the Highlander (Highlander  #7) - 76.53, Darkfever (Fever  #1) - 75.79, Beyond the Highland Mist (Highlander  #1) - 70.86, To Tame a Highland Warrior (Highlander  #2) - 58.16, Dark Lover (Black Dagger Brotherhood  #1) - 50.83, Outlander (Outlander  #1) - 46.68, Dreamfever (Fever  #4) - 46.68, Lover Awakened (Black Dagger Brotherhood  #3) - 49.32 
The Immortal Life of Henrietta Lacks	,  The Hunger Games (The Hunger Games  #1) - 78.77, The Help - 76.84, The Book Thief - 66.78, Catching Fire (The Hunger Games  #2) - 60.87, The Girl with the Dragon Tattoo (Millennium  #1) - 54.46, The Guernsey Literary and Potato Peel Pie Society - 50.86, Water for Elephants - 46.40, The Glass Castle - 40.40, The Handmaid's Tale - 37.96, Cutting for Stone - 34.14 
The Imperfectionists	,  The Hunger Games (The Hunger Games  #1) - 63.27, The Help - 57.86, The Book Thief - 46.25, The Girl with the Dragon Tattoo (Millennium  #1) - 43.04, Cutting for Stone - 37.39, Catching Fire (The Hunger Games  #2) - 37.39, Little Bee - 38.52, The Guernsey Literary and Potato Peel Pie Society - 31.86, Let the Great World Spin - 33.27, The Immortal Life of Henrietta Lacks - 32.95 
The Importance of Being Earnest	,  The Book Thief - 84.77, The Picture of Dorian Gray - 84.05, The Great Gatsby - 79.04, The Hunger Games (The Hunger Games  #1) - 81.46, Pride and Prejudice - 76.61, 1984 - 70.77, To Kill a Mockingbird - 71.13, Catching Fire (The Hunger Games  #2) - 69.73, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 64.33, The Catcher in the Rye - 63.22 
The Indian in the Cupboard (The Indian in the Cupboard  #1)	,  Catching Fire (The Hunger Games  #2) - 75.00, The Hunger Games (The Hunger Games  #1) - 69.05, The Book Thief - 51.80, The Help - 45.00, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 43.04, The Giver (The Giver  #1) - 42.50, Twilight (Twilight  #1) - 35.44, To Kill a Mockingbird - 34.31, Ender's Game (Ender's Saga  #1) - 28.20, A Wrinkle in Time (A Wrinkle in Time Quintet  #1) - 26.74 
The Inheritance of Loss	,  The Hunger Games (The Hunger Games  #1) - 50.52, The Help - 40.73, The Book Thief - 44.39, The Girl with the Dragon Tattoo (Millennium  #1) - 43.39, A Thousand Splendid Suns - 42.13, The Kite Runner - 38.81, The Guernsey Literary and Potato Peel Pie Society - 34.75, Water for Elephants - 31.99, To Kill a Mockingbird - 31.08, The Handmaid's Tale - 30.18 
The Initiation / The Captive Part I (The Secret Circle  #1-2)	,  The Hunger Games (The Hunger Games  #1) - 71.15, City of Bones (The Mortal Instruments  #1) - 62.30, Catching Fire (The Hunger Games  #2) - 60.48, The Awakening / The Struggle (The Vampire Diaries  #1-2) - 61.74, City of Ashes (The Mortal Instruments  #2) - 48.41, Hush - Hush (Hush - Hush  #1) - 48.75, City of Glass (The Mortal Instruments  #3) - 45.75, City of Fallen Angels (The Mortal Instruments  #4) - 44.25, Marked (House of Night  #1) - 33.70, Beautiful Creatures (Caster Chronicles  #1) - 31.76 
The Innocent	,  The Girl with the Dragon Tattoo (Millennium  #1) - 64.29, The Woods - 42.35, The Hunger Games (The Hunger Games  #1) - 34.41, Gone for Good - 35.92, The Help - 31.58, Tell No One - 30.31, The Book Thief - 27.45, Caught - 25.95, Long Lost  (Myron Bolitar #9) - 18.82, Hold Tight - 16.47 
The Innocent Mage (Kingmaker - Kingbreaker  #1)	,  The Name of the Wind (The Kingkiller Chronicle  #1) - 49.11, The Hunger Games (The Hunger Games  #1) - 50.54, Catching Fire (The Hunger Games  #2) - 32.91, A Game of Thrones (A Song of Ice and Fire  #1) - 26.61, The Final Empire (Mistborn  #1) - 17.73, The Well of Ascension (Mistborn  #2) - 14.53, The Hero of Ages (Mistborn  #3) - 12.41, The Way of Shadows (Night Angel  #1) - 10.40, City of Bones (The Mortal Instruments  #1) - 9.77, Outlander (Outlander  #1) - 9.14 
The Innocent Man: Murder and Injustice in a Small Town	,  The Help - 57.32, The Hunger Games (The Hunger Games  #1) - 52.10, The Girl with the Dragon Tattoo (Millennium  #1) - 52.99, The Book Thief - 44.54, Catching Fire (The Hunger Games  #2) - 42.11, To Kill a Mockingbird - 38.53, The Glass Castle - 32.38, Water for Elephants - 29.63, The Kite Runner - 31.73, A Thousand Splendid Suns - 26.63 
The Interpretation of Murder (Freud  #1)	,  The Hunger Games (The Hunger Games  #1) - 50.00, The Girl with the Dragon Tattoo (Millennium  #1) - 40.50, The Book Thief - 43.16, The Help - 42.10, To Kill a Mockingbird - 35.97, The Historian - 22.00, Cloud Atlas - 14.46, Twilight (Twilight  #1) - 12.69, A Thousand Splendid Suns - 6.04, Catching Fire (The Hunger Games  #2) - 5.00 
The Invisible Man	,  Animal Farm - 64.04, The Great Gatsby - 56.52, Catching Fire (The Hunger Games  #2) - 53.57, The Hunger Games (The Hunger Games  #1) - 49.02, The Time Machine - 57.23, The Handmaid's Tale - 48.70, The Book Thief - 46.31, The Catcher in the Rye - 46.06, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 44.84, Ender's Game (Ender's Saga  #1) - 45.70 
The Iron King (The Iron Fey  #1)	,  The Hunger Games (The Hunger Games  #1) - 70.62, City of Bones (The Mortal Instruments  #1) - 70.06, Catching Fire (The Hunger Games  #2) - 55.52, Hush - Hush (Hush - Hush  #1) - 52.79, City of Ashes (The Mortal Instruments  #2) - 46.32, Shiver (The Wolves of Mercy Falls  #1) - 45.55, City of Glass (The Mortal Instruments  #3) - 44.75, Beautiful Creatures (Caster Chronicles  #1) - 41.45, City of Fallen Angels (The Mortal Instruments  #4) - 42.38, Graceling (Graceling Realm  #1) - 42.10 
The Iron Thorn (Iron Codex  #1)	,  Catching Fire (The Hunger Games  #2) - 67.50, The Hunger Games (The Hunger Games  #1) - 53.05, The Forest of Hands and Teeth (The Forest of Hands and Teeth  #1) - 42.56, Fallen (Fallen  #1) - 43.42, White Cat (Curse Workers  #1) - 37.50, The Iron King (The Iron Fey  #1) - 34.93, Hush - Hush (Hush - Hush  #1) - 32.69, Anna and the French Kiss (Anna and the French Kiss  #1) - 31.58, The Graveyard Book - 28.26, City of Bones (The Mortal Instruments  #1) - 27.70 
The Iron Witch (The Iron Witch  #1)	,  The Hunger Games (The Hunger Games  #1) - 48.40, The Iron King (The Iron Fey  #1) - 47.03, Hush - Hush (Hush - Hush  #1) - 43.30, Firelight (Firelight  #1) - 43.38, Catching Fire (The Hunger Games  #2) - 39.39, Linger (The Wolves of Mercy Falls  #2) - 47.37, Shiver (The Wolves of Mercy Falls  #1) - 40.50, Anna and the French Kiss (Anna and the French Kiss  #1) - 38.55, City of Bones (The Mortal Instruments  #1) - 36.11, Beautiful Creatures (Caster Chronicles  #1) - 35.23 
The Island	,  The Book Thief - 69.23, The Help - 47.50, The Hunger Games (The Hunger Games  #1) - 42.86, The Forgotten Garden - 36.49, The Guernsey Literary and Potato Peel Pie Society - 21.87, The Girl with the Dragon Tattoo (Millennium  #1) - 13.33, Catching Fire (The Hunger Games  #2) - 13.57, 1984 - 10.00, The Time Traveler's Wife - 10.00, The Kite Runner - 8.97 
The Island of Dr. Moreau	,  The Hunger Games (The Hunger Games  #1) - 66.81, The Book Thief - 45.01, The Invisible Man - 45.54, The Handmaid's Tale - 42.40, Catching Fire (The Hunger Games  #2) - 40.47, 1984 - 42.03, To Kill a Mockingbird - 40.00, The Giver (The Giver  #1) - 32.88, The Great Gatsby - 34.28, Ender's Game (Ender's Saga  #1) - 32.46 
The Jane Austen Book Club	,  The Hunger Games (The Hunger Games  #1) - 41.15, The Book Thief - 37.25, The Help - 29.54, The Girl with the Dragon Tattoo (Millennium  #1) - 29.01, Catching Fire (The Hunger Games  #2) - 26.96, The Thirteenth Tale - 24.34, The Guernsey Literary and Potato Peel Pie Society - 21.50, The Time Traveler's Wife - 20.47, The Curious Incident of the Dog in the Night-Time - 22.02, Twilight (Twilight  #1) - 19.62 
The Janus Stone (Ruth Galloway  #2)	,  The Crossing Places (Ruth Galloway  #1) - 73.56, Catching Fire (The Hunger Games  #2) - 9.04, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 7.81, The Help - 6.34, The Guernsey Literary and Potato Peel Pie Society - 6.34, The Hunger Games (The Hunger Games  #1) - 4.83, The Girl with the Dragon Tattoo (Millennium  #1) - 4.31, The Girl Who Played with Fire (Millennium  #2) - 3.10, Still Life (Chief Inspector Armand Gamache  #1) - 1.63, The Immortal Life of Henrietta Lacks - 1.63 
The Joker	,  Batman: The Killing Joke - 62.96, Watchmen - 42.97, Locke & Key - Vol. 1: Welcome to Lovecraft - 32.34, Batman: Arkham Asylum - A Serious House on Serious Earth - 20.66, Twilight (Twilight  #1) - 22.61, The Hunger Games (The Hunger Games  #1) - 17.50, Batman: Hush - 11.05, Fables - Vol. 1: Legends in Exile - 10.04, Batman: The Dark Knight Returns (The Dark Knight Saga  #1) - 10.04, The Walking Dead - Vol. 01: Days Gone Bye - 8.37 
